"title","model","condition","yom","mileage","price"
"Subaru Legacy 2006 2.0 R StationWagon Blue","Legacy","Kenyan Used","2006",180280,750000
"Subaru Outback 2015 Gray","Outback","Foreign Used","2015",21452,3500000
"New Subaru Forester 2014 Black","Forester","Brand New","2014",59955,2450000
"Subaru Impreza 2004 Blue","Impreza","Kenyan Used","2004",192000,465000
"Subaru Legacy 2013 Blue","Legacy","Foreign Used","2013",69521,1600000
"Subaru Legacy 2014 Gray","Legacy","Foreign Used","2014",97843,1750000
"Subaru Forester 2014 Red","Forester","Foreign Used","2014",NA,2900000
"Subaru Legacy 2014 Silver","Legacy","Foreign Used","2014",NA,1600000
"Subaru Forester 2015 White","Forester","Foreign Used","2015",63125,2500000
"Subaru Forester 2014 Silver","Forester","Kenyan Used","2014",104000,2020000
"Subaru Levorg 2014 White","Levorg","Foreign Used","2014",63427,1880000
"Subaru Impreza 2011 WRX Sedan STI Blue","Impreza","Kenyan Used","2011",105467,1800000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",NA,2800000
"Subaru Outback 2015 White","Outback","Foreign Used","2015",63125,3500000
"Subaru Forester 2001 Silver","Forester","Kenyan Used","2001",263939,500000
"Subaru Outback 2011 White","Outback","Kenyan Used","2011",130144,1400000
"Subaru Impreza 2014 Gray","Impreza","Foreign Used","2014",79000,1470000
"Subaru Outback 2015 Off White","Outback","Foreign Used","2015",70256,3300000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",90000,2900000
"Subaru Forester 2015 Orange","Forester","Foreign Used","2015",120000,2550000
"Subaru Forester 2013 Black","Forester","Foreign Used","2013",74000,2700000
"Subaru Outback 2012 2.5i Limited Black","Outback","Kenyan Used","2012",81406,1550000
"Subaru XV 2014 Limited Package Silver","XV","Foreign Used","2014",62135,1900000
"Subaru Impreza 2009 1.5 Silver","Impreza","Kenyan Used","2009",137500,700000
"Subaru Impreza 2005 White","Impreza","Kenyan Used","2005",155000,635000
"Subaru Legacy 2015 White","Legacy","Foreign Used","2015",NA,2400000
"Subaru Forester 2014 Blue","Forester","Foreign Used","2014",89000,2300000
"Subaru Outback 2012 Black","Outback","Kenyan Used","2012",130000,1350000
"Subaru Exiga 2015 Red","Exiga","Foreign Used","2015",83951,1700000
"Subaru Outback 2014 Purple","Outback","Foreign Used","2014",71253,2480000
"Subaru Forester 2013 White","Forester","Kenyan Used","2013",86000,2200000
"Subaru Forester 2014 Pearl","Forester","Foreign Used","2014",99000,2730000
"Subaru Forester 2013 Black","Forester","Foreign Used","2013",NA,2500000
